file_name,point_on_screen,time_till_capture
2024_07_07-19_25_24.jpg,"(1910, 1070)",0.2323
2024_07_07-19_25_34.jpg,"(768, 720)",0.2142
2024_07_07-19_25_43.jpg,"(960, 120)",0.1129
2024_07_07-19_25_49.jpg,"(1344, 720)",0.2242
2024_07_07-19_26_00.jpg,"(960, 480)",0.2064
2024_07_07-19_26_08.jpg,"(960, 120)",0.0723
2024_07_07-19_26_16.jpg,"(1152, 360)",0.0772
2024_07_07-19_26_22.jpg,"(576, 600)",0.1708
2024_07_07-19_26_30.jpg,"(960, 360)",0.2374
2024_07_07-19_26_37.jpg,"(768, 480)",0.0873
2024_07_07-19_26_44.jpg,"(0, 1070)",0.0793
2024_07_07-19_26_52.jpg,"(768, 360)",0.0612
2024_07_07-19_26_58.jpg,"(1910, 0)",0.2801
2024_07_07-19_27_05.jpg,"(960, 720)",0.1727
2024_07_07-19_27_14.jpg,"(576, 240)",0.0812
2024_07_07-19_27_23.jpg,"(768, 240)",0.2224
2024_07_07-19_27_31.jpg,"(960, 960)",0.1262
2024_07_07-19_38_06.jpg,"(960, 240)",0.1596
2024_07_07-19_38_14.jpg,"(1280, 840)",0.1612
2024_07_07-19_38_21.jpg,"(320, 480)",0.1043
2024_07_07-19_38_29.jpg,"(320, 240)",0.062
2024_07_07-19_38_47.jpg,"(320, 240)",0.1271
2024_07_07-19_38_55.jpg,"(640, 240)",0.2587
2024_07_07-19_39_07.jpg,"(1280, 480)",0.2328
2024_07_07-19_39_17.jpg,"(640, 480)",0.0893
2024_07_07-19_39_26.jpg,"(640, 720)",0.0808
2024_07_07-19_39_34.jpg,"(1280, 480)",0.108
2024_07_07-19_39_41.jpg,"(10, 10)",0.223
2024_07_07-19_39_52.jpg,"(320, 480)",0.226
2024_07_07-19_40_01.jpg,"(1600, 480)",0.139
2024_07_07-19_40_09.jpg,"(1280, 720)",0.0464
2024_07_07-19_40_16.jpg,"(1600, 720)",0.1289
2024_07_07-19_40_25.jpg,"(10, 10)",0.1062
2024_07_07-19_40_32.jpg,"(1600, 120)",0.2005
2024_07_07-19_40_39.jpg,"(1280, 240)",0.0718
2024_07_07-19_40_48.jpg,"(640, 480)",0.0743
2024_07_07-19_40_56.jpg,"(640, 840)",0.0984
2024_07_07-19_41_03.jpg,"(640, 240)",0.2511
2024_07_07-19_41_11.jpg,"(320, 360)",0.0729
2024_07_07-19_41_20.jpg,"(1280, 840)",0.2331
2024_07_07-19_41_27.jpg,"(1600, 240)",0.083
2024_07_07-19_41_33.jpg,"(1910, 0)",0.1211
2024_07_07-19_41_39.jpg,"(960, 960)",0.1212
2024_07_07-19_41_46.jpg,"(1280, 360)",0.112
2024_07_07-19_41_53.jpg,"(1280, 960)",0.1545
2024_07_07-19_42_04.jpg,"(960, 840)",0.1099
2024_07_07-19_42_12.jpg,"(960, 120)",0.1107
2024_07_07-19_42_20.jpg,"(320, 840)",0.2185
